fecha_venta,sucursal,codigo_articulo,producto,precio_venta,cantidad
2022-03-15,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,8.86,136
2022-03-15,CAGUA,001973,MARGARINA 500GR MAVESA.,8.86,160
2022-03-16,BARQUISIMETO,000386,HUEVOS A GRANEL,19.6,109
2022-03-16,GUARENAS,000386,HUEVOS A GRANEL,19.6,331
2022-03-16,IPSFA,000386,HUEVOS A GRANEL,19.6,694
2022-03-19,GUARENAS,000386,HUEVOS A GRANEL,19.78,496
2022-03-20,IPSFA,000386,HUEVOS A GRANEL,19.78,799
2022-03-21,BARQUISIMETO,000386,HUEVOS A GRANEL,19.78,129
2022-03-21,GUARENAS,000386,HUEVOS A GRANEL,19.78,363
2022-03-21,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.01,146
2022-03-23,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.01,102
2022-03-25,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.07,144
2022-03-26,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,9.11,287
2022-03-26,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.11,211
2022-03-27,GUARENAS,000386,HUEVOS A GRANEL,20.01,252
2022-03-30,ACARIGUA,000386,HUEVOS A GRANEL,20.06,101
2022-04-02,GUARENAS,001973,MARGARINA 500GR MAVESA.,9.22,397
2022-04-06,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,9.24,194
2022-04-09,BARQUISIMETO,000386,HUEVOS A GRANEL,21.17,181
2022-04-09,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.43,135
2022-04-09,GUARENAS,001973,MARGARINA 500GR MAVESA.,10.43,77
2022-04-10,GUARENAS,000386,HUEVOS A GRANEL,21.17,345
2022-04-10,IPSFA,000386,HUEVOS A GRANEL,21.17,857
2022-04-10,SAN BERNARDINO,000386,HUEVOS A GRANEL,20.2878,2
2022-04-11,BARQUISIMETO,001973,MARGARINA 500GR MAVESA.,10.43,208
2022-04-14,ACARIGUA,000386,HUEVOS A GRANEL,21.27,158
2022-04-14,IPSFA,000386,HUEVOS A GRANEL,21.27,917
2022-04-15,ACARIGUA,000386,HUEVOS A GRANEL,21.27,110
2022-04-15,GUARENAS,000386,HUEVOS A GRANEL,21.27,292
2022-04-15,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.48,166
2022-04-16,ACARIGUA,000386,HUEVOS A GRANEL,21.27,88
2022-04-16,SAN BERNARDINO,001973,MARGARINA 500GR MAVESA.,10.48,180
2022-04-17,BARQUISIMETO,000386,HUEVOS A GRANEL,21.27,141
2022-04-17,GUARENAS,000386,HUEVOS A GRANEL,21.27,283
