codigo_articulo,codigo_sucursal,sucursal,fecha_venta,producto,precio_venta,cantidad
000386,08,ACARIGUA,2024-11-11 00:00:00,HUEVOS A GRANEL.,5.49,10
000386,23,CALIFORNIA,2024-11-11 00:00:00,HUEVOS A GRANEL.,5.19,2
002056,01,IPSFA,2024-11-11 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,2
002056,07,BARQUISIMETO,2024-11-11 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,11
000386,07,BARQUISIMETO,2024-11-11 00:00:00,HUEVOS A GRANEL.,5.49,4
002056,23,CALIFORNIA,2024-11-11 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,1
002056,08,ACARIGUA,2024-11-11 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,4
000386,05,CAGUA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,199
002056,10,LA ISABELICA - VALENCIA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,325
002056,22,SAN MARTIN,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,293
000386,15,GUATIRE,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,415
002056,08,ACARIGUA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,146
002056,20,CIUDAD BOLIVAR HERES,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,172
000386,34,PLAZA VENEZUELA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,142
002056,32,CHARALLAVE,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,569
002056,17,MARACAY,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,142
000386,12,LA CASCADA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,307
000386,19,LA PIRAMIDE,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,98
000386,09,MATURIN PLAZA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,172
002056,06,GUARENAS,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,452
002056,19,LA PIRAMIDE,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,301
002056,24,PARQUE HUMBOLDT,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,93
002056,02,SAN BERNARDINO,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,758
000386,14,LA URBINA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,262
000386,24,PARQUE HUMBOLDT,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,59
002056,23,CALIFORNIA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,340
002056,28,SANTA CECILIA - VALENCIA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.89,113
000386,07,BARQUISIMETO,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,160
000386,32,CHARALLAVE,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,307
002056,15,GUATIRE,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,1044
002056,21,LOS TEQUES,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,283
000386,10,LA ISABELICA - VALENCIA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,127
000386,23,CALIFORNIA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,147
000386,17,MARACAY,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,113
000386,22,SAN MARTIN,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.19,131
002056,07,BARQUISIMETO,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,355
002056,27,MAÑONGO - NAGUANAGUA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.89,86
000386,08,ACARIGUA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,147
000386,06,GUARENAS,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,177
000386,28,SANTA CECILIA - VALENCIA,2024-11-10 00:00:00,HUEVOS A GRANEL.,4.85,89
002056,13,PARAISO,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,462
002056,34,PLAZA VENEZUELA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,315
002056,05,CAGUA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,278
002056,12,LA CASCADA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,432
002056,11,MATURIN CENTRO,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,595
000386,01,IPSFA,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,356
000386,21,LOS TEQUES,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,112
000386,27,MAÑONGO - NAGUANAGUA,2024-11-10 00:00:00,HUEVOS A GRANEL.,4.85,81
002056,14,LA URBINA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,559
002056,09,MATURIN PLAZA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,0.99,131
000386,20,CIUDAD BOLIVAR HERES,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,249
000386,11,MATURIN CENTRO,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,215
000386,13,PARAISO,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,192
000386,02,SAN BERNARDINO,2024-11-10 00:00:00,HUEVOS A GRANEL.,5.49,370
002056,01,IPSFA,2024-11-10 00:00:00,HARINA PAN  1KG DE MAIZ BLANCO,1.05,961
000386,13,PARAISO,2024-11-09 00:00:00,HUEVOS A GRANEL.,5.49,149
000386,28,SANTA CECILIA - VALENCIA,2024-11-09 00:00:00,HUEVOS A GRANEL.,4.85,69
000386,23,CALIFORNIA,2024-11-09 00:00:00,HUEVOS A GRANEL.,4.99,154
000386,17,MARACAY,2024-11-09 00:00:00,HUEVOS A GRANEL.,5.49,123
